Distrito,Desempleo_Pct,Pobreza_Pct,Iluminacion_Publica,Presencia_Policial,Camaras_Vigilancia,Pandillaje_Indice,Trafico_Drogas_Indice,Violencia_Familiar_Pct,Informalidad_Laboral_Pct,Abandono_Escolar_Pct,Percepcion_Inseguridad,Hora_Evento,Tipo_Evento
San Juan de Lurigancho,7.56,25.81,73.94,0.57,36,7.98,7.07,7.33,45.67,3.01,6.65,17,Homicidio
Cercado de Lima,16.27,20.61,74.71,4.6,66,5.01,3.84,29.22,31.14,7.73,4.78,22,Homicidio
San Martín de Porres,4.61,26.77,84.43,3.91,81,1.69,1.88,2.3,26.4,11.58,9.03,14,Hurto
Independencia,4.97,20.55,42.23,4.63,77,2.15,1.2,25.84,30.96,19.52,8.58,1,Robo
Villa María del Triunfo,4.66,17.12,78.29,2.08,72,6.64,4.53,25.4,87.31,15.73,6.6,0,Homicidio
Independencia,16.67,25.36,43.75,2.23,39,1.42,1.02,16.99,25.96,6.76,7.7,17,Homicidio
Villa El Salvador,19.87,32.93,57.63,3.52,45,7.25,3.12,23.92,50.99,10.22,8.0,5,Violencia Familiar
Villa El Salvador,9.4,19.69,71.56,4.14,16,8.89,4.84,22.4,42.15,7.5,2.75,12,Violencia Familiar
Villa El Salvador,4.43,32.4,82.47,2.12,19,3.59,0.81,7.41,86.55,8.77,5.2,16,Robo
Villa María del Triunfo,7.54,21.86,45.66,1.07,0,1.9,4.61,10.02,37.32,13.26,6.86,10,Microcomercializacion Drogas
Ate,4.24,15.95,98.8,3.18,92,9.99,1.75,2.28,30.42,15.74,5.02,7,Homicidio
Comas,19.07,31.94,43.89,2.6,16,5.42,6.29,9.19,76.06,13.01,5.53,0,Microcomercializacion Drogas
Villa El Salvador,8.75,42.42,94.73,1.44,76,7.18,5.81,28.54,23.76,3.02,2.56,10,Robo
Los Olivos,18.17,34.32,70.5,4.96,38,2.8,5.65,4.47,48.96,15.25,7.24,9,Hurto
Independencia,10.49,39.28,81.05,4.47,92,5.83,9.6,20.49,56.59,1.45,4.72,8,Microcomercializacion Drogas
San Martín de Porres,9.73,12.97,65.49,2.23,88,7.35,7.97,9.54,82.12,3.61,4.03,23,Violencia Familiar
Villa El Salvador,19.11,35.67,56.1,3.16,85,7.35,2.52,15.74,25.29,12.74,6.99,22,Robo
Villa María del Triunfo,7.57,5.84,83.37,0.65,38,1.44,9.99,19.43,50.17,6.48,6.44,17,Homicidio
San Juan de Lurigancho,3.56,24.97,76.04,0.78,60,4.06,0.41,11.72,38.57,14.04,9.54,9,Asalto
Comas,17.48,19.26,55.68,4.76,62,6.58,8.24,20.13,87.83,14.57,9.32,4,Pandillaje
Independencia,11.98,10.07,75.55,2.67,63,0.1,1.95,15.76,86.54,8.29,4.82,16,Hurto
Cercado de Lima,15.0,14.53,63.32,2.5,23,4.11,1.45,16.68,87.41,12.55,9.85,23,Robo
Los Olivos,16.73,35.86,94.91,4.35,38,2.07,8.74,2.85,26.36,17.24,6.68,1,Robo
Callao,5.65,14.03,52.71,4.07,15,6.76,9.08,22.43,71.48,2.52,4.24,4,Pandillaje
Independencia,8.54,13.82,95.52,4.41,28,0.61,7.15,19.46,87.94,11.62,4.03,6,Homicidio
San Juan de Lurigancho,12.51,25.11,48.67,2.49,96,3.17,4.84,10.25,38.11,1.49,3.57,16,Robo
Ate,19.24,14.61,59.41,1.33,85,1.55,3.56,21.52,59.21,8.34,4.78,22,Violencia Familiar
San Juan de Lurigancho,4.33,40.25,44.67,3.68,15,0.6,3.76,27.92,55.21,13.58,9.21,21,Robo
Comas,10.44,18.59,83.14,1.79,76,7.91,4.54,10.45,46.88,17.23,7.74,15,Homicidio
San Juan de Lurigancho,10.59,27.03,96.67,1.46,56,5.23,1.17,5.61,57.58,18.79,3.78,22,Robo
Callao,7.21,6.45,46.11,3.78,87,5.9,4.23,7.62,41.4,10.97,6.87,2,Pandillaje
Ate,7.86,7.84,60.74,3.84,70,4.12,1.38,20.64,56.73,13.15,4.04,22,Asalto
Cercado de Lima,10.65,35.25,87.65,2.73,66,0.9,4.98,9.37,70.71,4.6,9.03,17,Robo
Comas,10.45,21.35,65.74,3.14,42,2.51,3.21,5.78,40.73,11.87,4.98,1,Hurto
San Martín de Porres,8.2,7.91,95.96,2.28,0,1.3,3.46,24.62,37.24,2.2,2.19,12,Violencia Familiar
Independencia,17.87,6.74,55.66,4.44,74,8.64,3.09,21.44,21.13,8.08,4.17,10,Hurto
Cercado de Lima,16.43,13.71,80.62,4.11,31,4.82,7.2,12.05,62.7,8.27,3.74,23,Microcomercializacion Drogas
Ate,6.86,21.26,91.08,4.09,83,5.45,6.61,27.29,26.9,5.41,7.38,11,Robo
San Martín de Porres,10.06,8.57,66.27,1.54,68,5.91,8.87,26.89,72.2,1.67,6.18,21,Violencia Familiar
San Juan de Lurigancho,17.58,23.96,40.25,0.55,73,3.45,1.61,17.77,86.06,1.07,3.14,1,Robo
Cercado de Lima,4.93,27.81,91.71,2.65,64,8.82,4.34,22.93,89.98,14.77,2.03,8,Violencia Familiar
Independencia,3.02,22.98,90.21,3.08,62,4.65,0.63,18.75,62.13,2.23,9.75,13,Violencia Familiar
Villa El Salvador,17.98,18.13,46.77,4.42,61,0.5,6.03,24.59,30.98,1.29,3.81,9,Robo
Comas,10.24,27.09,75.93,1.73,19,8.75,9.39,24.54,79.54,11.46,8.43,21,Robo
San Juan de Lurigancho,14.7,15.39,55.28,4.99,16,5.27,0.57,5.1,35.36,9.82,4.9,16,Pandillaje
Cercado de Lima,17.01,27.59,50.78,0.95,94,0.13,7.96,15.36,29.16,5.48,9.39,2,Violencia Familiar
San Martín de Porres,16.6,42.29,86.21,3.86,1,0.6,5.18,5.48,87.35,6.51,8.68,14,Hurto
Independencia,18.9,19.53,63.42,0.98,10,1.59,9.68,27.61,31.69,3.3,1.77,8,Asalto
Cercado de Lima,8.27,25.3,64.08,4.35,16,6.9,6.02,5.0,55.57,14.97,9.93,10,Pandillaje
Cercado de Lima,6.84,39.91,88.87,1.55,99,3.03,3.93,7.03,60.47,19.2,5.53,12,Pandillaje
Villa María del Triunfo,8.59,16.4,68.7,1.31,53,7.69,2.66,23.48,34.41,7.11,5.19,9,Robo
Villa María del Triunfo,4.81,38.68,68.97,3.47,40,9.01,9.3,12.74,54.42,18.03,8.26,9,Microcomercializacion Drogas
Comas,10.17,14.19,51.97,0.67,94,7.63,7.65,11.98,39.19,16.22,4.39,20,Robo
Ate,6.66,16.67,50.37,2.21,26,5.31,0.99,24.74,80.62,4.27,8.65,3,Violencia Familiar
Callao,9.5,16.27,83.32,4.38,76,5.12,1.59,3.5,51.2,1.94,6.12,1,Asalto
Villa María del Triunfo,8.2,28.72,72.26,0.52,14,5.66,7.63,5.82,36.01,17.77,1.18,1,Hurto
Independencia,4.58,23.73,93.25,3.39,58,6.77,7.03,28.77,57.19,8.59,9.58,14,Homicidio
San Martín de Porres,17.32,19.49,79.63,2.62,45,5.77,6.43,25.8,40.48,4.18,4.41,19,Microcomercializacion Drogas
Callao,14.43,25.35,83.27,2.09,72,8.43,3.03,14.02,52.95,3.99,1.28,19,Pandillaje
San Juan de Lurigancho,7.08,8.34,95.71,3.11,81,9.12,3.46,19.4,22.72,4.55,8.48,6,Pandillaje
Independencia,9.41,26.34,40.01,1.59,19,2.49,0.15,6.67,62.47,14.47,1.19,15,Robo
Los Olivos,18.2,14.13,84.4,1.89,50,7.93,6.04,15.81,22.8,19.7,4.45,3,Robo
Callao,7.83,28.43,75.21,2.51,11,9.17,9.97,6.3,80.41,6.05,6.32,10,Pandillaje
Comas,18.86,20.32,83.77,0.59,0,1.35,4.48,25.22,41.19,9.89,3.46,17,Homicidio
Comas,7.2,40.98,94.65,4.74,89,2.84,4.37,19.75,51.5,7.42,4.49,1,Robo
Los Olivos,11.87,5.54,41.17,4.88,92,1.83,5.74,19.85,58.97,15.03,4.02,19,Violencia Familiar
Comas,14.02,5.73,79.24,3.28,14,0.38,9.95,15.5,72.92,9.59,1.39,9,Pandillaje
Comas,14.12,16.02,98.06,1.95,77,9.59,6.13,9.33,24.69,1.54,3.2,15,Homicidio
Villa El Salvador,18.61,21.32,51.48,2.83,55,3.11,3.27,2.3,69.07,3.15,7.96,7,Hurto
Independencia,12.93,8.3,85.94,0.81,56,3.25,9.45,9.91,52.26,13.75,2.46,21,Microcomercializacion Drogas
Callao,6.36,44.36,84.18,3.98,34,1.33,7.75,9.41,85.35,14.68,7.78,5,Asalto
Villa El Salvador,13.5,35.8,46.24,4.83,97,2.7,8.23,16.51,52.33,6.97,6.23,1,Robo
Comas,13.7,32.97,82.67,0.73,55,1.32,7.56,9.73,83.35,16.54,4.12,20,Pandillaje
Los Olivos,4.72,43.48,79.16,2.55,99,5.01,2.34,13.47,74.61,15.65,3.05,2,Violencia Familiar
Callao,5.46,15.19,94.87,1.01,17,5.05,1.76,24.76,57.92,3.49,7.9,7,Hurto
Los Olivos,9.27,10.42,71.1,1.01,40,2.93,4.91,14.28,73.22,8.99,9.49,1,Hurto
Independencia,17.52,36.27,46.21,0.98,16,9.38,9.12,28.49,37.13,3.5,3.72,21,Hurto
Callao,12.29,27.78,60.59,3.03,32,4.42,0.46,17.23,43.7,10.0,6.52,22,Robo
Callao,10.38,37.78,94.33,1.04,23,2.85,0.47,20.72,80.39,4.1,8.31,0,Pandillaje
Villa María del Triunfo,13.68,20.8,55.24,4.92,89,7.2,4.44,9.18,33.33,13.73,1.0,23,Pandillaje
Villa El Salvador,6.26,20.45,69.09,2.1,68,1.26,1.23,6.13,22.08,2.36,6.94,20,Robo
San Juan de Lurigancho,19.87,31.36,43.03,0.97,91,6.23,2.08,16.11,58.14,6.39,9.54,0,Hurto
Independencia,4.33,9.25,69.57,1.22,2,1.59,4.87,12.2,64.76,3.45,4.87,3,Violencia Familiar
San Juan de Lurigancho,3.69,41.55,89.98,1.84,67,4.02,1.51,14.37,73.95,6.02,1.05,23,Homicidio
Villa María del Triunfo,13.32,9.8,59.24,4.4,75,5.32,4.82,21.68,24.76,4.68,2.93,11,Violencia Familiar
Callao,6.2,7.25,44.84,4.97,79,0.5,2.69,20.32,57.35,18.94,4.57,21,Violencia Familiar
San Juan de Lurigancho,11.71,15.71,67.3,2.62,42,7.77,5.57,20.08,20.95,4.08,9.86,3,Pandillaje
San Juan de Lurigancho,19.08,12.88,92.52,3.67,64,6.55,3.9,7.45,71.22,3.93,8.7,10,Robo
Comas,11.83,16.92,65.35,1.84,80,0.79,5.27,13.28,61.22,2.7,4.88,7,Microcomercializacion Drogas
San Martín de Porres,12.86,29.76,56.97,4.53,10,2.86,4.24,20.2,21.73,16.39,5.83,20,Robo
Los Olivos,5.19,5.74,81.38,1.86,80,6.91,5.72,13.33,45.45,5.12,7.03,23,Hurto
San Juan de Lurigancho,4.52,22.35,61.35,2.82,82,4.85,5.43,10.53,32.73,2.63,7.43,7,Asalto
Ate,9.64,21.63,68.15,2.15,16,7.34,0.55,26.86,69.21,5.11,2.65,11,Homicidio
Los Olivos,6.58,14.1,56.78,1.07,89,0.75,1.34,20.05,43.78,14.45,6.02,22,Hurto
Villa El Salvador,4.98,26.46,66.23,1.71,87,4.97,0.94,10.14,88.86,19.25,3.88,13,Asalto
San Juan de Lurigancho,18.53,19.73,62.41,2.23,11,6.51,6.14,11.36,77.25,1.73,8.84,15,Hurto
Ate,14.35,5.51,92.29,2.51,51,1.38,4.39,15.9,48.26,13.89,4.79,4,Homicidio
San Martín de Porres,4.86,20.89,60.21,3.06,17,2.13,6.04,16.1,80.7,19.1,4.64,3,Microcomercializacion Drogas
San Juan de Lurigancho,7.7,36.7,53.51,3.57,38,3.27,6.07,28.05,78.58,19.91,1.2,22,Violencia Familiar
Ate,12.34,34.93,87.04,1.96,89,5.06,5.6,22.4,44.84,12.64,6.27,23,Microcomercializacion Drogas
Comas,7.41,8.39,47.16,1.51,74,4.56,4.92,3.03,33.7,16.71,8.48,0,Robo
Ate,19.82,11.67,42.8,4.01,67,8.3,7.04,28.48,48.62,13.58,5.18,4,Violencia Familiar
San Juan de Lurigancho,12.22,14.32,74.42,4.2,98,6.31,3.5,10.19,47.48,7.5,8.49,5,Pandillaje
Comas,9.24,26.69,48.89,3.86,63,4.12,2.24,28.11,54.17,12.98,7.61,18,Asalto
Callao,14.49,33.23,69.35,2.22,79,7.31,5.22,4.08,33.44,16.96,7.52,17,Homicidio
San Juan de Lurigancho,19.83,13.38,40.71,4.99,68,3.05,1.76,24.02,41.88,18.37,8.57,6,Hurto
Villa María del Triunfo,16.7,29.1,57.75,4.5,31,3.97,2.45,14.56,42.44,15.14,9.74,12,Microcomercializacion Drogas
Villa El Salvador,4.57,34.18,60.84,3.56,55,8.9,4.4,27.23,72.55,10.28,6.43,1,Homicidio
Villa El Salvador,14.34,6.75,59.6,3.3,22,5.57,8.94,29.28,23.24,7.76,2.92,21,Microcomercializacion Drogas
San Martín de Porres,5.04,24.34,81.13,4.01,49,1.47,0.73,24.74,72.67,15.31,7.45,12,Pandillaje
Callao,13.92,6.53,77.29,4.0,80,3.17,6.71,2.88,70.85,16.88,4.74,12,Microcomercializacion Drogas
Independencia,11.97,25.71,74.67,3.87,28,2.92,2.67,28.03,32.07,12.01,6.0,2,Robo
San Martín de Porres,7.63,11.78,77.25,3.74,28,0.72,8.81,9.19,61.51,18.78,7.1,18,Homicidio
Ate,7.5,33.45,46.0,0.65,86,3.55,0.49,2.87,58.79,15.48,5.84,8,Robo
San Martín de Porres,7.03,22.89,44.34,4.79,26,6.95,1.42,19.91,23.83,8.74,2.6,21,Violencia Familiar
Comas,5.38,8.85,65.47,4.7,59,5.27,1.41,2.02,76.71,2.66,6.7,20,Violencia Familiar
Los Olivos,14.31,8.15,76.23,1.24,89,8.06,9.9,12.57,51.13,1.88,1.12,9,Pandillaje
Callao,10.58,37.61,93.36,2.84,41,7.48,2.62,26.69,82.43,4.73,6.52,7,Violencia Familiar
Callao,19.7,26.11,87.28,4.28,12,7.19,5.04,21.85,37.43,7.16,4.01,22,Pandillaje
Villa El Salvador,16.66,40.89,71.09,2.55,71,2.88,6.38,10.03,40.55,8.59,8.67,12,Robo
San Juan de Lurigancho,9.66,15.54,97.28,3.22,90,7.27,0.01,28.23,31.52,5.44,3.37,15,Microcomercializacion Drogas
Villa El Salvador,19.77,17.61,46.92,0.98,91,2.48,5.06,25.64,36.75,8.89,6.54,17,Asalto
Independencia,9.16,28.47,77.46,3.44,62,3.54,3.81,13.53,70.93,9.58,8.71,2,Robo
Callao,9.67,21.21,47.53,4.16,37,5.28,6.62,7.81,83.41,16.93,5.24,8,Violencia Familiar
Cercado de Lima,15.41,10.27,80.81,4.29,50,8.66,0.33,27.56,28.29,13.27,3.25,7,Violencia Familiar
Villa El Salvador,10.16,21.42,53.88,1.11,94,1.98,0.09,19.56,42.15,19.49,2.74,17,Homicidio
Callao,3.14,38.57,41.92,4.73,2,6.11,8.71,2.43,50.5,5.26,4.5,5,Robo
Cercado de Lima,12.34,40.51,46.28,4.2,15,3.84,9.45,15.49,59.98,16.69,3.48,2,Asalto
Villa María del Triunfo,11.21,40.86,98.96,2.3,20,8.85,5.77,8.19,38.84,16.26,1.4,18,Hurto
Callao,16.79,8.5,88.34,3.51,10,5.37,0.49,2.07,37.14,13.93,2.09,10,Violencia Familiar
Villa María del Triunfo,14.01,33.48,50.71,0.86,50,3.14,6.33,4.96,64.0,2.81,1.85,3,Pandillaje
Independencia,3.63,22.8,46.79,2.08,60,3.59,4.75,12.18,64.87,18.12,2.48,16,Homicidio
Cercado de Lima,18.84,16.15,97.01,0.78,78,6.93,7.85,25.14,83.96,17.72,10.0,10,Robo
San Martín de Porres,12.97,15.45,98.91,4.54,43,0.31,2.75,2.92,49.42,18.01,9.84,18,Hurto
Los Olivos,18.4,25.65,49.22,4.65,40,7.32,7.09,7.61,34.77,14.08,2.98,19,Asalto
Los Olivos,8.06,31.39,48.22,3.59,20,2.74,3.15,5.27,39.12,4.98,5.1,17,Robo
Comas,14.68,8.83,95.35,3.06,55,0.62,8.21,4.59,67.18,2.07,7.06,16,Microcomercializacion Drogas
Los Olivos,11.88,21.06,58.03,4.11,9,7.23,2.06,9.0,43.55,12.19,5.09,18,Hurto
Villa El Salvador,3.18,36.06,89.3,0.77,81,3.78,7.94,26.48,79.57,15.77,3.42,5,Asalto
San Martín de Porres,19.66,15.73,42.46,3.67,32,1.01,7.08,2.87,80.91,3.63,2.15,11,Violencia Familiar
San Juan de Lurigancho,9.09,12.33,78.57,1.97,38,6.32,2.57,28.56,31.88,19.35,1.13,6,Violencia Familiar
San Juan de Lurigancho,6.56,14.64,47.79,3.72,65,6.86,8.33,9.0,62.67,12.12,4.33,22,Asalto
Callao,15.56,40.72,66.88,2.89,94,8.5,2.3,8.71,46.08,5.38,6.05,10,Hurto
Los Olivos,4.41,12.64,66.45,3.13,89,9.88,3.89,3.33,76.08,12.48,2.79,3,Pandillaje
Villa El Salvador,14.64,10.02,87.19,0.58,21,3.31,7.4,10.76,77.88,12.3,8.15,22,Pandillaje
San Martín de Porres,14.13,16.33,40.01,1.07,89,8.39,0.32,16.57,59.7,11.66,5.28,19,Pandillaje
Villa El Salvador,8.28,29.63,81.46,2.32,79,1.2,7.04,20.06,46.18,19.07,1.2,23,Microcomercializacion Drogas
Callao,7.11,31.89,51.81,4.53,31,7.95,1.81,21.94,46.95,8.64,8.05,20,Asalto
Callao,10.15,24.24,62.58,2.13,54,8.06,1.08,29.63,63.35,13.37,2.79,18,Hurto
Callao,7.9,14.44,83.83,0.68,24,8.68,2.95,2.05,35.67,7.47,9.92,23,Robo
Cercado de Lima,8.62,5.79,48.11,3.63,81,2.07,3.78,10.87,67.41,6.5,6.19,10,Microcomercializacion Drogas
Los Olivos,18.83,9.44,64.37,3.97,80,1.27,0.59,10.55,31.04,4.31,7.85,4,Homicidio
San Juan de Lurigancho,9.24,9.25,81.32,4.9,20,7.33,8.71,7.39,26.83,18.06,4.15,2,Pandillaje
Villa María del Triunfo,10.2,5.18,58.8,2.87,92,1.11,4.43,9.09,83.65,2.93,1.44,2,Microcomercializacion Drogas
Comas,14.23,34.22,67.2,3.58,2,2.16,5.91,27.57,75.85,18.51,9.81,17,Hurto
Ate,10.02,39.39,55.11,4.91,56,3.28,2.1,15.94,53.32,18.13,1.31,18,Robo
San Martín de Porres,13.28,24.21,88.94,0.78,77,4.95,1.34,26.8,65.45,4.11,1.3,16,Asalto
San Juan de Lurigancho,6.05,14.03,41.51,3.75,5,5.88,8.47,14.36,21.26,2.42,5.59,9,Violencia Familiar
Ate,4.21,12.57,86.28,4.29,98,9.56,6.98,7.82,21.42,10.11,5.62,21,Hurto
San Juan de Lurigancho,6.42,12.15,60.26,2.38,66,6.16,9.86,19.92,80.22,18.97,9.37,2,Homicidio
Cercado de Lima,17.58,24.8,47.86,3.63,71,5.44,7.12,7.91,67.08,14.38,6.03,7,Asalto
Villa María del Triunfo,10.29,10.07,73.98,2.29,3,9.41,4.86,14.95,74.96,16.61,5.99,15,Violencia Familiar
Villa El Salvador,17.96,6.8,83.87,4.42,33,6.47,8.3,3.38,79.67,11.42,2.78,5,Hurto
Callao,12.02,7.07,49.51,4.16,88,3.62,0.1,19.53,69.27,13.37,9.71,16,Violencia Familiar
Villa María del Triunfo,4.07,24.04,81.35,3.23,81,5.81,3.88,6.78,35.88,11.93,4.81,17,Hurto
Independencia,14.27,39.1,55.48,2.71,43,7.03,2.91,15.17,86.94,15.57,9.73,18,Pandillaje
Callao,4.1,28.11,61.47,1.74,47,9.57,4.99,28.08,60.83,11.23,5.09,19,Homicidio
Villa El Salvador,7.11,25.39,62.8,2.52,43,3.5,4.52,5.74,23.36,15.73,6.14,15,Pandillaje
Villa El Salvador,11.04,30.22,94.47,2.39,57,3.09,1.17,29.6,41.6,3.48,2.79,10,Robo
Callao,17.66,43.46,54.8,2.53,90,6.69,0.72,22.92,23.71,11.32,3.34,11,Violencia Familiar
Independencia,8.27,14.68,56.71,4.53,48,6.95,4.42,28.46,29.91,13.21,4.44,0,Hurto
San Martín de Porres,14.66,35.36,71.96,3.37,93,1.01,3.09,19.12,87.48,2.82,1.2,15,Asalto
Independencia,15.26,32.08,71.35,4.02,46,3.92,4.9,5.09,49.37,7.01,1.32,4,Robo
Villa El Salvador,3.31,42.37,45.19,4.1,80,4.69,9.39,7.2,88.46,19.89,6.0,6,Robo
Los Olivos,10.22,17.37,56.84,4.88,92,6.91,7.87,5.26,45.21,19.4,9.31,18,Pandillaje
Independencia,17.57,6.94,48.91,2.36,20,9.23,4.57,25.69,51.66,9.06,2.41,5,Robo
Cercado de Lima,3.38,22.76,86.88,3.56,24,9.1,0.18,17.6,75.11,11.29,3.92,13,Homicidio
Ate,15.48,31.47,89.02,1.07,87,6.59,3.98,16.38,76.21,8.1,4.49,11,Homicidio
San Juan de Lurigancho,10.02,21.22,80.77,0.8,62,2.88,2.57,20.6,49.36,19.34,7.15,19,Violencia Familiar
San Martín de Porres,4.35,24.51,58.87,1.41,91,3.93,3.88,10.03,38.8,17.36,1.63,10,Hurto
Villa El Salvador,8.0,13.63,49.52,1.91,99,2.22,4.64,15.17,81.15,15.49,5.62,14,Asalto
Los Olivos,15.53,29.06,79.33,0.54,74,5.3,3.48,16.57,65.88,8.95,7.43,22,Microcomercializacion Drogas
Independencia,10.68,21.32,81.25,1.62,73,8.77,4.18,27.51,89.52,3.02,3.1,7,Homicidio
Cercado de Lima,4.66,5.6,49.67,4.98,91,5.03,8.48,2.57,62.31,6.26,8.76,6,Pandillaje
Villa María del Triunfo,14.46,13.86,42.09,2.34,34,8.09,8.0,14.8,62.46,12.48,8.44,12,Asalto
Ate,7.51,26.45,66.95,2.48,70,5.89,4.08,20.23,73.76,19.25,5.5,1,Asalto
Ate,12.13,13.14,49.35,4.46,34,9.74,0.08,27.17,85.18,19.26,1.12,14,Pandillaje
Comas,16.78,42.89,48.16,2.74,65,0.34,1.7,15.99,61.58,3.82,4.59,22,Robo
San Juan de Lurigancho,8.73,28.42,58.94,0.89,38,1.88,4.28,20.43,38.47,1.23,5.67,16,Hurto
San Martín de Porres,13.02,23.85,74.4,4.68,9,6.28,7.84,20.15,72.37,18.21,8.77,21,Robo
Independencia,13.84,25.24,83.03,4.25,98,8.89,8.45,16.71,68.41,17.78,5.46,16,Pandillaje
Comas,6.74,20.54,91.94,3.76,48,2.15,3.56,9.95,32.33,15.12,3.27,19,Asalto
San Martín de Porres,11.17,22.92,47.25,2.42,91,1.6,2.82,8.53,71.39,1.58,6.56,3,Robo
Los Olivos,18.84,33.32,84.88,1.39,80,1.74,9.58,25.93,36.13,7.22,2.89,15,Pandillaje
Villa El Salvador,16.7,15.13,54.94,3.16,20,7.92,1.27,13.16,31.91,5.84,3.37,21,Robo
San Martín de Porres,14.98,18.57,46.66,1.75,13,3.39,1.43,26.02,41.62,13.52,6.1,7,Robo
Cercado de Lima,15.45,8.51,80.09,4.53,16,5.09,6.28,11.98,42.64,1.44,5.5,17,Robo
Los Olivos,11.38,18.56,48.81,2.98,71,8.41,4.15,23.5,22.84,3.34,2.83,15,Robo
San Juan de Lurigancho,8.0,8.46,85.57,1.91,66,2.37,6.27,10.44,87.76,14.36,2.23,15,Pandillaje
Villa María del Triunfo,17.31,28.34,43.69,3.45,37,5.12,9.44,3.17,55.21,12.1,9.28,16,Hurto
Comas,12.52,5.33,44.96,1.07,4,9.33,6.57,14.29,23.14,18.48,5.23,22,Robo
Independencia,11.19,9.97,52.86,0.79,91,1.05,4.54,8.69,78.49,15.89,8.42,10,Pandillaje
Independencia,12.61,30.96,61.01,4.63,76,2.24,0.98,27.67,59.21,3.92,8.14,14,Asalto
San Juan de Lurigancho,18.86,42.53,94.85,2.96,43,6.9,7.25,21.55,41.77,2.89,3.45,1,Robo
Independencia,11.4,5.39,48.4,1.95,77,9.42,5.27,11.1,31.07,7.43,1.18,17,Pandillaje
Independencia,4.9,10.91,65.69,1.38,55,8.72,2.16,4.35,53.8,10.77,8.46,16,Pandillaje
Callao,3.65,29.61,89.68,1.21,86,5.92,8.47,11.99,27.58,9.0,7.54,5,Pandillaje
Comas,13.94,8.52,93.61,2.25,33,7.56,9.64,5.21,42.01,16.39,3.4,18,Microcomercializacion Drogas
Cercado de Lima,12.81,15.98,89.45,0.52,6,7.73,8.75,2.74,59.34,5.07,4.07,21,Hurto
Callao,14.13,43.16,86.51,4.12,8,7.36,5.71,3.87,28.15,12.33,3.47,19,Robo
Ate,13.97,32.49,62.35,1.68,72,6.49,6.37,17.5,20.8,14.23,4.38,11,Pandillaje
Villa El Salvador,12.99,15.09,52.22,2.03,86,6.25,0.97,28.65,75.35,8.1,6.07,4,Robo
San Juan de Lurigancho,10.41,30.2,60.43,1.86,19,1.62,1.18,23.3,84.93,9.71,6.94,0,Hurto
Villa María del Triunfo,4.76,37.52,42.33,3.47,50,7.95,1.13,16.94,27.09,17.58,5.57,23,Robo
San Martín de Porres,5.13,6.66,56.89,1.6,18,8.33,4.54,22.15,27.52,17.08,7.62,9,Homicidio
Independencia,10.31,21.99,65.02,3.49,53,3.97,5.71,28.69,56.17,16.56,5.92,17,Homicidio
Independencia,12.78,43.02,91.55,1.53,61,2.96,5.81,28.44,76.83,15.09,7.63,7,Asalto
Comas,7.69,42.21,61.88,4.36,80,7.52,4.23,16.48,45.9,15.07,8.06,22,Robo
San Juan de Lurigancho,6.48,18.52,68.19,1.99,64,4.41,7.34,19.5,79.78,16.25,1.37,23,Violencia Familiar
Comas,4.74,29.06,92.43,1.04,59,9.11,8.14,16.55,74.01,10.93,2.42,6,Pandillaje
Villa María del Triunfo,8.97,42.22,87.98,2.45,59,9.43,5.28,17.12,52.27,7.19,5.28,11,Homicidio
Independencia,12.36,15.02,63.86,2.43,38,8.95,3.93,28.93,49.11,12.42,7.39,19,Hurto
Ate,15.68,25.83,56.11,3.99,96,7.96,4.75,24.21,45.19,18.84,5.81,9,Homicidio
Comas,5.89,30.32,65.19,2.79,1,5.44,5.43,15.92,29.44,10.43,2.52,10,Violencia Familiar
Villa El Salvador,8.41,14.6,73.42,0.99,77,7.69,3.69,28.88,77.43,17.23,2.55,0,Robo
Ate,7.61,39.22,41.91,0.84,19,2.0,2.32,24.34,59.42,1.11,4.86,8,Robo
San Juan de Lurigancho,14.42,23.38,99.51,1.52,40,9.54,8.14,27.31,21.1,18.74,8.29,5,Robo
Ate,5.6,25.22,64.79,4.45,35,5.99,4.76,28.12,25.33,10.52,7.18,18,Violencia Familiar
Villa María del Triunfo,18.45,42.68,43.86,2.31,31,5.97,3.18,14.64,37.29,16.01,6.71,9,Asalto
San Juan de Lurigancho,7.95,37.91,67.08,2.76,10,8.9,3.84,22.63,53.32,3.33,9.35,15,Robo
Independencia,9.24,5.76,46.03,2.73,20,4.14,0.15,25.55,55.94,3.64,3.13,13,Asalto
Callao,17.15,21.07,83.02,4.45,28,7.71,3.27,8.78,31.83,15.72,2.17,22,Pandillaje
Los Olivos,8.62,12.15,85.92,4.04,47,2.8,1.46,10.1,41.68,10.92,6.97,22,Robo
Independencia,8.71,16.61,72.47,0.61,69,8.93,5.13,25.11,77.11,18.76,8.57,13,Pandillaje
Independencia,9.87,13.86,70.72,2.97,81,5.74,4.45,20.72,64.09,1.34,5.87,11,Robo
Ate,16.45,15.35,60.44,0.79,61,1.39,2.52,22.49,31.53,7.68,3.38,5,Violencia Familiar
San Juan de Lurigancho,9.25,27.21,46.0,4.12,80,9.48,3.56,9.0,63.14,10.48,9.9,2,Robo
San Juan de Lurigancho,19.62,38.74,50.7,4.57,78,6.96,7.66,14.35,70.15,8.34,2.9,20,Violencia Familiar
Villa María del Triunfo,10.84,31.96,72.49,4.3,2,0.58,9.98,23.07,80.47,13.37,8.71,15,Violencia Familiar
